Date,Price_DailyMetal,Price_LME,Price_LME_3M,Price_LME_All_Location_Stock,Price_WUXI,Price_COMEX
2018-03-28,42.184,93300.0,93750.0,538.0,96.75,
2018-03-29,42.297,93550.0,93750.0,538.0,98.0,
2018-03-30,42.524,,,,101.1,
2018-04-02,42.524,,,,99.55,
2018-04-03,42.071,93050.0,93250.0,548.0,100.0,
2018-04-04,39.689,89050.0,89250.0,548.0,98.4,
2018-04-05,41.05,91050.0,91250.0,548.0,99.45,
2018-04-06,41.277,91250.0,91250.0,548.0,98.9,
2018-04-09,41.277,91250.0,91250.0,548.0,100.4,
2018-04-10,41.277,91250.0,91250.0,548.0,101.35,
2018-04-11,41.277,91250.0,91250.0,558.0,102.15,
2018-04-12,41.277,92000.0,92000.0,558.0,101.3,
2018-04-13,41.617,92000.0,92000.0,558.0,102.7,
2018-04-16,41.277,91250.0,91250.0,558.0,104.05,
2018-04-17,41.277,92000.0,92000.0,558.0,103.2,
2018-04-18,41.277,91250.0,91250.0,557.0,106.4,
2018-04-19,41.277,91250.0,91250.0,557.0,105.05,
2018-04-20,41.277,91250.0,91250.0,577.0,103.65,
2018-04-23,41.277,91250.0,91500.0,577.0,102.9,
2018-04-24,41.277,91250.0,91500.0,587.0,104.0,
2018-04-25,39.916,88500.0,88750.0,587.0,103.9,
2018-04-26,40.03,88500.0,88750.0,587.0,103.95,
2018-04-27,40.03,88500.0,88750.0,587.0,103.15,
2018-04-30,40.03,88500.0,88750.0,587.0,102.9,
2018-05-01,40.03,88500.0,88750.0,587.0,102.8,
2018-05-02,40.937,90000.0,90250.0,587.0,104.75,
2018-05-03,40.823,88500.0,88750.0,586.0,103.3,
2018-05-04,40.143,88500.0,88750.0,586.0,103.8,
2018-05-07,40.256,,,,104.0,
2018-05-08,40.143,88500.0,88750.0,586.0,103.75,
2018-05-09,40.143,88500.0,88750.0,586.0,104.05,
2018-05-10,40.37,89000.0,89250.0,586.0,103.95,
2018-05-11,40.71,90500.0,90500.0,586.0,104.7,
2018-05-14,41.277,91000.0,91000.0,585.0,107.1,
2018-05-15,41.05,90750.0,90750.0,585.0,107.05,
2018-05-16,41.05,90750.0,90750.0,585.0,107.5,
2018-05-17,41.164,90750.0,90750.0,585.0,108.35,
2018-05-18,41.05,90750.0,90750.0,585.0,108.5,
2018-05-21,41.05,92000.0,92000.0,585.0,108.6,
2018-05-22,41.957,92500.0,92500.0,585.0,108.0,
2018-05-23,41.277,92250.0,92250.0,585.0,108.0,
2018-05-24,41.05,90750.0,90750.0,605.0,108.1,
2018-05-25,41.05,90750.0,90750.0,605.0,110.9,
2018-05-28,41.164,,,,109.85,
2018-05-29,41.05,90500.0,90500.0,610.0,111.35,
2018-05-30,40.937,90500.0,90500.0,610.0,113.55,
2018-05-31,40.143,90000.0,90000.0,610.0,115.3,
2018-06-01,40.597,88000.0,88000.0,610.0,116.05,
2018-06-04,39.689,87750.0,87750.0,610.0,116.65,
2018-06-05,39.349,86750.0,86750.0,610.0,118.45,
2018-06-06,38.329,83750.0,83750.0,640.0,118.35,
2018-06-07,37.875,82000.0,82000.0,640.0,117.7,
2018-06-08,37.648,82750.0,82750.0,640.0,116.25,
2018-06-11,37.195,82250.0,82250.0,640.0,115.65,
2018-06-12,36.628,80750.0,80750.0,640.0,115.15,
2018-06-13,36.628,81000.0,81000.0,640.0,118.0,
2018-06-14,36.741,81250.0,81250.0,637.0,115.15,
2018-06-15,36.514,79750.0,79750.0,637.0,115.7,
2018-06-18,36.287,80000.0,80000.0,637.0,115.0,
2018-06-19,36.174,80000.0,80000.0,636.0,113.45,
2018-06-20,36.628,80250.0,80250.0,636.0,114.3,
2018-06-21,36.287,80000.0,80000.0,636.0,115.35,
2018-06-22,35.834,79150.0,79150.0,636.0,117.0,
2018-06-25,35.607,78750.0,78750.0,636.0,116.55,
2018-06-26,35.04,77250.0,77250.0,636.0,115.15,
2018-06-27,35.607,78750.0,78750.0,636.0,116.2,
2018-06-28,35.38,77250.0,77250.0,636.0,115.95,
2018-06-29,35.063,77550.0,77550.0,636.0,116.5,
2018-07-02,33.793,74750.0,74750.0,628.0,115.2,
2018-07-03,34.246,74750.0,74750.0,644.0,114.05,
2018-07-04,32.432,71750.0,71750.0,644.0,111.5,
