Date,CODALY,COLMEX,COCOMX,COLMEAS,COSMMS
2024-10-06,11.022,24190.8089,11.0,115.0,28368.8734
2024-10-07,11.022,24194.5,11.0,115.0,28375.2272
2024-10-08,11.022,24200.0,11.0,115.0,28400.0
2024-10-09,11.022,24205.5,11.0,115.0,28400.0
2024-10-10,11.022,24227.5,11.0,115.0,28250.0
2024-10-11,11.022,24227.5,11.0,115.0,28150.0
2024-10-13,11.022,24229.1191,11.0,114.9999,28080.0736
2024-10-14,11.022,24233.0,11.0,115.0,28050.0
2024-10-15,11.022,24235.0,11.0,115.0,28000.0
2024-10-16,11.022,24237.0,11.0,115.0,27950.0
2024-10-17,11.022,24243.0,11.0,115.0,27900.0
2024-10-18,11.022,24245.0,11.0,115.0,27850.0
2024-10-20,11.022,24245.739,11.0,115.1118,27879.5767
2024-10-21,11.022,24247.0,11.0,115.0,27850.0
2024-10-22,11.022,24249.0,11.0,115.0,27750.0
2024-10-23,11.022,24251.0,11.0,115.0,27700.0
2024-10-24,11.022,24257.0,11.0,115.0,27650.0
2024-10-25,11.022,24259.0,11.0,130.0,27650.0
2024-10-28,11.022,24261.0,11.0,130.0,27600.0
2024-10-29,11.022,24263.0,11.0,130.0,27550.0
2024-10-30,11.022,24265.0,11.0,130.0,27500.0
2024-10-31,11.022,24271.0,11.0,130.0,27400.0
2024-11-01,11.022,24273.0,11.0,130.0,27400.0
2024-11-04,11.022,24275.0,11.0,130.0,27400.0
2024-11-05,11.022,24277.0,11.0,130.0,27350.0
2024-11-06,11.022,24279.0,11.0,130.0,27250.0
2024-11-07,11.022,24286.0,11.0,130.0,27050.0
2024-11-08,11.022,24286.0,11.0,130.0,27050.0
2024-11-10,11.022,24286.059,11.0,130.0,27066.8913
2024-11-11,11.022,24287.75,11.0,130.0,27050.0
2024-11-12,11.022,24289.5,11.0,130.0,27050.0
2024-11-13,11.022,24291.25,11.0,130.0,27100.0
2024-11-14,11.022,24296.5,11.0,130.0,27150.0
