Date,PLIH5,PLIX5,diff,diff_ma5
2024-11-11,10.92,12.73,1.8100000000000005,1.5160000000000005
2024-11-12,11.1,12.58,1.4800000000000004,1.4620000000000004
2024-11-13,11.31,12.69,1.379999999999999,1.4020000000000004
2024-11-14,11.37,12.74,1.370000000000001,1.3320000000000003
2024-11-15,11.13,12.72,1.5899999999999999,1.5260000000000002
2024-11-18,11.0,12.71,1.7100000000000009,1.5060000000000002
2024-11-19,11.05,12.71,1.6600000000000001,1.5420000000000003
2024-11-20,11.17,12.71,1.540000000000001,1.5740000000000005
2024-11-21,11.19,12.73,1.540000000000001,1.6080000000000005
2024-11-22,11.23,12.77,1.5399999999999991,1.5980000000000003
2024-11-25,11.43,12.77,1.3399999999999999,1.5240000000000002
2024-11-26,11.43,12.78,1.3499999999999996,1.4620000000000002
2024-11-27,11.41,12.77,1.3599999999999994,1.4259999999999997
2024-11-28,11.22,12.77,1.549999999999999,1.4279999999999995
2024-11-29,11.22,12.77,1.549999999999999,1.4299999999999993
2024-12-02,11.19,12.74,1.5500000000000007,1.4719999999999995
2024-12-03,11.11,12.74,1.6300000000000008,1.5279999999999998
2024-12-04,11.27,12.73,1.4600000000000009,1.548
2024-12-05,11.55,13.05,1.5,1.5380000000000003
2024-12-06,11.66,13.05,1.3900000000000006,1.5060000000000007
2024-12-09,11.46,12.9,1.4399999999999995,1.4840000000000004
2024-12-10,11.58,12.92,1.3399999999999999,1.4260000000000002
2024-12-11,11.46,12.92,1.459999999999999,1.4259999999999997
2024-12-12,11.38,12.86,1.4799999999999986,1.4219999999999995
2024-12-13,11.35,12.94,1.5899999999999999,1.4619999999999993
2024-12-16,11.47,12.9,1.4299999999999997,1.4599999999999995
2024-12-17,11.47,12.97,1.5,1.4919999999999995
2024-12-18,11.37,12.8,1.4300000000000015,1.486
2024-12-19,11.56,12.7,1.1399999999999988,1.418
2024-12-20,11.29,12.73,1.4400000000000013,1.3880000000000003
2024-12-23,11.26,12.73,1.4700000000000006,1.3960000000000004
2024-12-24,11.47,12.75,1.2799999999999994,1.3520000000000003
2024-12-26,11.47,12.74,1.2699999999999996,1.3199999999999998
2024-12-27,11.47,12.74,1.2699999999999996,1.346
2024-12-30,11.57,12.74,1.17,1.2919999999999998
2024-12-31,11.57,12.74,1.17,1.2319999999999998
2025-01-02,11.45,12.48,1.0300000000000011,1.182
2025-01-03,11.45,12.48,1.0300000000000011,1.1340000000000003
2025-01-06,11.11,12.56,1.450000000000001,1.1700000000000006
2025-01-07,11.14,12.52,1.379999999999999,1.2120000000000004
2025-01-08,11.13,12.61,1.4799999999999986,1.2740000000000002
2025-01-09,11.14,12.43,1.2899999999999991,1.3259999999999998
2025-01-10,11.01,12.3,1.290000000000001,1.3779999999999997
2025-01-13,11.06,12.26,1.1999999999999993,1.3279999999999994
2025-01-14,11.05,12.26,1.209999999999999,1.2939999999999994
2025-01-15,10.99,12.33,1.3399999999999999,1.2659999999999996
2025-01-16,11.14,12.4,1.2599999999999998,1.2599999999999998
2025-01-17,11.1,12.43,1.33,1.2679999999999996
2025-01-20,11.05,12.35,1.299999999999999,1.2879999999999996
2025-01-21,11.13,12.37,1.2399999999999984,1.2939999999999994
2025-01-22,11.07,12.25,1.1799999999999997,1.2619999999999993
2025-01-23,11.0,12.27,1.2699999999999996,1.2639999999999993
2025-01-24,10.99,12.13,1.1400000000000006,1.2259999999999995
2025-01-27,10.99,12.14,1.1500000000000004,1.1959999999999997
2025-01-28,10.99,12.03,1.0399999999999991,1.156
2025-01-29,10.97,12.01,1.0399999999999991,1.1279999999999997
2025-01-30,10.94,12.01,1.0700000000000003,1.0879999999999999
2025-01-31,10.95,12.01,1.0600000000000005,1.0719999999999998
2025-02-03,10.92,12.01,1.0899999999999999,1.0599999999999998
2025-02-04,10.93,12.01,1.08,1.068
2025-02-05,10.82,12.06,1.2400000000000002,1.108
2025-02-06,10.74,11.93,1.1899999999999995,1.1320000000000001
2025-02-07,10.6,11.9,1.3000000000000007,1.1800000000000002
2025-02-10,10.6,11.77,1.17,1.1960000000000002
2025-02-11,10.49,11.68,1.1899999999999995,1.218
2025-02-12,10.34,11.47,1.1300000000000008,1.1960000000000002
2025-02-13,10.26,11.39,1.1300000000000008,1.1840000000000004
2025-02-14,10.42,11.28,0.8599999999999994,1.096
2025-02-17,10.35,11.29,0.9399999999999995,1.05
2025-02-18,10.35,11.29,0.9399999999999995,1.0
2025-02-19,10.34,11.29,0.9499999999999993,0.9639999999999997
2025-02-20,10.34,11.26,0.9199999999999999,0.9219999999999995
2025-02-21,10.44,11.24,0.8000000000000007,0.9099999999999998
2025-02-24,10.39,11.24,0.8499999999999996,0.8919999999999998
2025-02-25,10.34,11.24,0.9000000000000004,0.884
2025-02-26,10.36,11.16,0.8000000000000007,0.8540000000000003
2025-02-27,10.37,11.13,0.7600000000000016,0.8220000000000006
2025-02-28,10.4,11.14,0.7400000000000002,0.8100000000000005
2025-03-03,10.01,10.9,0.8900000000000006,0.8180000000000007
2025-03-04,9.83,10.86,1.0299999999999994,0.8440000000000005
2025-03-05,9.77,10.81,1.040000000000001,0.8920000000000006
2025-03-06,9.72,10.77,1.049999999999999,0.95
2025-03-07,9.7,10.92,1.2200000000000006,1.046
2025-03-10,9.68,10.93,1.25,1.1179999999999999
2025-03-11,9.68,11.0,1.3200000000000003,1.1760000000000002
2025-03-12,9.67,11.03,1.3599999999999994,1.2399999999999998
2025-03-13,9.66,11.01,1.3499999999999996,1.3
2025-03-14,9.66,10.97,1.3100000000000005,1.318
2025-03-17,9.65,10.95,1.299999999999999,1.3279999999999998
2025-03-18,9.65,11.05,1.4000000000000004,1.3439999999999999
2025-03-19,9.64,11.02,1.379999999999999,1.3479999999999996
2025-03-20,9.63,10.98,1.3499999999999996,1.3479999999999996
2025-03-21,9.63,10.89,1.2599999999999998,1.3379999999999996
2025-03-24,9.62,10.86,1.2400000000000002,1.3259999999999998
2025-03-25,9.62,11.01,1.3900000000000006,1.3239999999999998
2025-03-26,9.62,10.98,1.3600000000000012,1.3200000000000003
2025-03-27,9.62,10.98,1.3600000000000012,1.3220000000000005
2025-03-28,9.46,10.85,1.3899999999999988,1.3480000000000003
2025-03-31,9.45,11.14,1.6900000000000013,1.4380000000000006
