Date;Bid;Ask;;;;
3/9/20;12595;12600;;;;
3/6/20;12835;12840;;;;
3/4/20;12680;12685;;;;
3/2/20;12675;12680;;;;
2/28/20;12215;12225;;;;
2/25/20;12520;12530;;;;
2/24/20;12460;12465;;;;
2/20/20;12735;12740;;;;
2/18/20;12850;12855;;;;
2/17/20;13145;13155;;;;
2/14/20;13040;13055;;;;
2/12/20;13150;13155;;;;
2/11/20;13115;13125;;;;
2/10/20;12920;12925;;;;
2/7/20;12830;12835;;;;
2/6/20;13100;13115;;;;
2/5/20;13205;13210;;;;
2/4/20;12940;12950;;;;
2/3/20;12725;12730;;;;
1/30/20;12585;12595;;;;
1/29/20;12650;12660;;;;
1/28/20;12580;#N/A N/A;;;;
1/23/20;13370;13400;;;;
1/22/20;13650;13660;;;;
1/21/20;13670;13675;;;;
1/20/20;14015;14025;;;;
1/17/20;13935;13940;;;;
1/16/20;13795;13805;;;;
1/15/20;14340;14345;;;;
1/14/20;13885;13890;;;;
1/13/20;14100;14110;;;;
1/10/20;14220;14230;;;;
1/9/20;14110;14120;;;;
1/8/20;14050;14060;;;;
1/7/20;13905;13910;;;;
1/6/20;13805;13810;;;;
1/3/20;13770;13775;;;;
1/2/20;14225;14240;;;;
12/31/19;14050;14055;;;;
12/30/19;14315;14320;;;;
12/27/19;14215;14230;;;;
12/24/19;14310;14320;;;;
12/23/19;14375;14380;;;;
12/20/19;14490;14495;;;;
12/19/19;14200;14210;;;;
12/18/19;13870;13880;;;;
12/17/19;14010;14020;;;;
12/16/19;14225;14230;;;;
12/13/19;14210;14215;;;;
12/12/19;14010;14015;;;;
12/11/19;13845;13850;;;;
12/10/19;13415;13425;;;;
12/9/19;13320;13325;;;;
12/6/19;13485;13495;;;;
12/5/19;13285;13290;;;;
12/4/19;13135;13140;;;;
12/3/19;13355;13360;;;;
12/2/19;13705;13715;;;;
11/29/19;13660;13670;;;;
11/28/19;13985;13990;;;;
11/27/19;14360;14375;;;;
11/26/19;14545;14555;;;;
11/25/19;14465;14475;;;;
11/21/19;14500;14505;;;;
11/20/19;14325;14330;;;;
11/19/19;14640;14645;;;;
11/18/19;14775;14785;;;;
11/15/19;14950;14960;;;;
11/14/19;15115;15120;;;;
11/13/19;15400;15405;;;;
11/12/19;15640;15645;;;;
11/11/19;15565;15570;;;;
11/8/19;16175;16195;;;;
11/7/19;16215;16225;;;;
11/6/19;16210;16230;;;;
11/4/19;16325;16330;;;;
10/31/19;16685;16695;;;;
10/29/19;16800;16820;;;;
10/28/19;16555;16565;;;;
10/25/19;16835;16850;;;;
10/24/19;16845;16865;;;;
10/23/19;16595;16620;;;;
10/22/19;16555;16585;;;;
10/21/19;16080;16095;;;;
10/18/19;16210;16225;;;;
10/17/19;16215;16235;;;;
10/16/19;16390;16395;;;;
10/15/19;17005;17010;;;;
10/14/19;17285;17300;;;;
10/11/19;17520;17540;;;;
10/10/19;17555;17595;;;;
10/9/19;17325;17355;;;;
10/8/19;17455;17470;;;;
10/7/19;17690;17710;;;;
10/4/19;17720;17750;;;;
10/3/19;17650;17660;;;;
10/2/19;17500;17540;;;;
10/1/19;17340;17370;;;;
9/30/19;17100;17120;;;;
9/27/19;17210;17230;;;;
9/26/19;17225;17250;;;;
9/25/19;17295;17320;;;;
9/24/19;17155;17170;;;;
9/23/19;17340;17370;;;;
9/20/19;17375;17405;;;;
9/19/19;17285;17310;;;;
9/18/19;17185;17200;;;;
9/17/19;17040;17060;;;;
9/16/19;17275;17295;;;;
9/13/19;17745;17755;;;;
9/12/19;17990;18000;;;;
9/11/19;17850;17865;;;;
9/10/19;17950;17960;;;;
9/9/19;18095;18110;;;;
9/6/19;17935;17950;;;;
9/5/19;17470;17495;;;;
9/4/19;18080;18100;;;;
9/3/19;17880;17910;;;;
9/2/19;17945;17995;;;;
8/30/19;17890;17910;;;;
8/29/19;16400;16420;;;;
8/28/19;16270;16290;;;;
8/27/19;15645;15655;;;;
8/23/19;15655;15675;;;;
8/22/19;15630;15650;;;;
8/21/19;15760;15780;;;;
8/20/19;15795;15830;;;;
8/19/19;15925;15950;;;;
8/16/19;16155;16190;;;;
8/15/19;16180;16200;;;;
8/14/19;15890;15900;;;;
8/13/19;15740;15795;;;;
8/12/19;15675;15700;;;;
8/9/19;15635;15660;;;;
8/8/19;15815;15830;;;;
8/7/19;15450;15460;;;;
8/6/19;14955;14970;;;;
8/5/19;14855;14860;;;;
8/2/19;14480;14485;;;;
8/1/19;14470;14475;;;;
7/31/19;14550;14555;;;;
7/30/19;14350;14360;;;;
7/29/19;14340;14350;;;;
7/26/19;14135;14140;;;;
7/25/19;14010;14030;;;;
7/24/19;14525;14535;;;;
7/23/19;14215;14225;;;;
7/22/19;14230;14245;;;;
7/19/19;14640;14650;;;;
7/18/19;14940;14950;;;;
7/17/19;14370;14375;;;;
7/16/19;13940;13960;;;;
7/15/19;13660;13670;;;;
7/12/19;13565;13575;;;;
7/11/19;13110;13115;;;;
7/10/19;13010;13020;;;;
7/9/19;12750;12755;;;;
7/8/19;12700;12720;;;;
7/5/19;12455;12470;;;;
7/4/19;12370;12380;;;;
7/3/19;12360;12370;;;;
7/2/19;12100;12105;;;;
7/1/19;12310;12325;;;;
6/28/19;12670;12680;;;;
6/27/19;12730;12740;;;;
6/26/19;12505;12510;;;;
6/25/19;12290;12310;;;;
6/24/19;12185;12195;;;;
6/21/19;12110;12115;;;;
6/20/19;12315;12330;;;;
6/19/19;12120;12135;;;;
6/18/19;11950;11955;;;;
6/17/19;11760;11770;;;;
6/14/19;11915;11920;;;;
6/13/19;11845;11855;;;;
6/12/19;11840;11855;;;;
6/11/19;11900;11905;;;;
6/10/19;11625;11630;;;;
6/7/19;11620;11630;;;;
6/6/19;11660;11675;;;;
6/5/19;11710;11720;;;;
6/4/19;11800;11810;;;;
6/3/19;11880;11885;;;;
5/31/19;11985;11995;;;;
5/30/19;12095;12100;;;;
5/29/19;12040;12045;;;;
5/28/19;12135;12150;;;;
5/24/19;12380;12410;;;;
5/23/19;11885;11895;;;;
5/22/19;11950;11965;;;;
5/21/19;12080;12095;;;;
5/20/19;11985;11990;;;;
5/17/19;12000;12020;;;;
5/16/19;12130;12135;;;;
5/15/19;12140;12150;;;;
5/14/19;11660;12065;;;;
5/13/19;11765;11775;;;;
5/10/19;11960;11965;;;;
5/9/19;11815;11825;;;;
5/8/19;11935;11940;;;;
5/7/19;12020;12030;;;;
5/3/19;12200;12205;;;;
5/2/19;12160;12170;;;;
5/1/19;12165;12170;;;;
4/30/19;12230;12240;;;;
4/29/19;12415;12425;;;;
4/26/19;12425;12440;;;;
4/25/19;12325;12330;;;;
4/24/19;12425;12435;;;;
4/23/19;12405;12415;;;;
4/18/19;12655;12660;;;;
4/17/19;12880;12900;;;;
4/16/19;12920;12930;;;;
4/15/19;12990;13000;;;;
4/12/19;13010;13015;;;;
4/11/19;12960;12970;;;;
4/10/19;13180;13190;;;;
4/9/19;13230;13235;;;;
4/8/19;13195;13205;;;;
4/5/19;13060;13065;;;;
4/4/19;13155;13175;;;;
4/3/19;13355;13365;;;;
4/2/19;13160;13165;;;;
4/1/19;13095;13115;;;;
3/29/19;12990;13000;;;;
3/28/19;12870;12880;;;;
3/27/19;13050;13055;;;;
3/26/19;13095;13110;;;;
3/25/19;12955;12960;;;;
3/22/19;12970;12980;;;;
3/21/19;13020;13035;;;;
3/20/19;13330;13345;;;;
3/19/19;13150;13155;;;;
3/15/19;12930;12935;;;;
3/14/19;12905;12910;;;;
3/13/19;13185;13190;;;;
3/12/19;13120;13125;;;;
3/11/19;12910;12915;;;;
3/8/19;13080;13085;;;;
3/7/19;13215;13225;;;;
3/6/19;13635;13640;;;;
3/5/19;13640;13650;;;;
3/4/19;13275;13285;;;;
3/1/19;13170;13175;;;;
2/28/19;13060;13065;;;;
2/27/19;13055;13065;;;;
2/26/19;12935;12940;;;;
2/25/19;12965;12970;;;;
2/22/19;12985;12990;;;;
2/21/19;12850;12855;;;;
2/20/19;12915;12920;;;;
2/19/19;12660;12665;;;;
2/18/19;12460;12470;;;;
2/15/19;12410;12415;;;;
2/14/19;12190;12200;;;;
2/13/19;12390;12400;;;;
2/12/19;12380;12390;;;;
2/11/19;12460;12470;;;;
2/8/19;12570;12575;;;;
2/7/19;12900;12905;;;;
2/6/19;12905;12920;;;;
2/5/19;13060;13065;;;;
2/4/19;13220;13235;;;;
2/1/19;12665;12685;;;;
1/31/19;12460;12475;;;;
1/30/19;12345;12355;;;;
1/29/19;12145;12150;;;;
1/28/19;11845;11850;;;;
1/25/19;11940;11955;;;;
1/24/19;11745;11755;;;;
1/23/19;11690;11695;;;;
1/22/19;11585;11595;;;;
1/21/19;11810;11820;;;;
1/18/19;11805;11810;;;;
1/17/19;11580;11585;;;;
1/16/19;11605;11610;;;;
1/15/19;11605;11610;;;;
1/14/19;11390;11405;;;;
1/11/19;11460;11465;;;;
1/10/19;11225;11230;;;;
1/9/19;11250;11260;;;;
1/8/19;11200;11205;;;;
1/7/19;11150;11155;;;;
1/4/19;11120;11125;;;;
1/3/19;10875;10885;;;;
1/2/19;10820;10830;;;;
12/31/18;10645;10655;;;;
12/28/18;10730;10740;;;;
12/27/18;10715;10720;;;;
12/24/18;10875;10880;;;;
12/21/18;10875;10880;;;;
12/20/18;10945;10950;;;;
12/19/18;10980;10985;;;;
12/18/18;10835;10840;;;;
12/17/18;10995;11000;;;;
12/14/18;11035;11040;;;;
12/13/18;10855;10865;;;;
12/12/18;10780;10790;;;;
12/11/18;10745;10750;;;;
12/10/18;10785;10790;;;;
12/7/18;10955;10965;;;;
12/6/18;10860;10865;;;;
12/5/18;11215;11220;;;;
12/4/18;11130;11135;;;;
12/3/18;11195;11200;;;;
11/30/18;11095;11100;;;;
11/29/18;11005;11010;;;;
11/28/18;10850;10865;;;;
11/27/18;10745;10750;;;;
11/26/18;10875;10880;;;;
11/23/18;10870;10875;;;;
11/22/18;10955;10965;;;;
11/21/18;11020;11025;;;;
11/20/18;11080;11085;;;;
11/19/18;11190;11195;;;;
11/16/18;11390;11400;;;;
11/15/18;11320;11325;;;;
11/14/18;11300;11305;;;;
11/13/18;11320;11325;;;;
11/12/18;11345;11350;;;;
11/9/18;11410;11420;;;;
11/8/18;11770;11780;;;;
11/7/18;11765;11775;;;;
11/6/18;11790;11795;;;;
11/5/18;11740;11745;;;;
11/2/18;11935;11940;;;;
11/1/18;11835;11850;;;;
10/31/18;11540;11545;;;;
10/30/18;11745;11760;;;;
10/29/18;11735;11745;;;;
10/26/18;11875;11885;;;;
10/25/18;12175;12185;;;;
10/24/18;12210;12215;;;;
10/23/18;12390;12395;;;;
10/22/18;12455;12465;;;;
10/19/18;12465;12480;;;;
10/18/18;12290;12315;;;;
10/17/18;12350;12360;;;;
10/16/18;12530;12545;;;;
10/15/18;12560;12580;;;;
10/12/18;12685;12695;;;;
10/11/18;12695;12710;;;;
10/10/18;12700;12720;;;;
10/9/18;12970;12985;;;;
10/8/18;12655;12670;;;;
10/5/18;12655;12670;;;;
10/4/18;12535;12575;;;;
10/3/18;12920;12935;;;;
10/2/18;12535;12550;;;;
10/1/18;12430;12445;;;;
9/28/18;12535;12560;;;;
9/27/18;12540;12550;;;;
9/26/18;12810;12820;;;;
9/25/18;12950;12955;;;;
9/24/18;12820;12825;;;;
9/21/18;13255;13270;;;;
9/20/18;12650;12670;;;;
9/19/18;12495;12515;;;;
9/18/18;12355;12380;;;;
9/17/18;12270;12275;;;;
9/14/18;12405;12420;;;;
9/13/18;12595;12605;;;;
9/12/18;12620;12640;;;;
9/11/18;12210;12215;;;;
9/10/18;12385;12410;;;;
9/7/18;12330;12335;;;;
9/6/18;12445;12470;;;;
9/5/18;12475;12480;;;;
9/4/18;12480;12490;;;;
9/3/18;12780;12810;;;;
8/31/18;12810;12820;;;;
8/30/18;13305;13310;;;;
8/29/18;13445;13455;;;;
8/28/18;13630;13640;;;;
8/24/18;13410;13450;;;;
8/23/18;13240;13245;;;;
8/22/18;13575;13595;;;;
8/21/18;13555;13560;;;;
8/20/18;13595;13605;;;;
8/17/18;13545;13560;;;;
8/16/18;13325;13375;;;;
8/15/18;12880;12885;;;;
8/14/18;13415;13440;;;;
8/13/18;13520;13540;;;;
8/10/18;13805;13820;;;;
8/9/18;13865;13875;;;;
8/8/18;14020;14040;;;;
8/7/18;13865;13875;;;;
8/6/18;13685;13690;;;;
8/3/18;13505;13525;;;;
8/2/18;13335;13370;;;;
8/1/18;13390;13395;;;;
7/31/18;14065;14085;;;;
7/30/18;13890;13900;;;;
7/27/18;13775;13790;;;;
7/26/18;13790;13805;;;;
7/25/18;13700;13715;;;;
7/24/18;13590;13630;;;;
7/23/18;13365;13380;;;;
7/20/18;13510;13520;;;;
7/19/18;13410;13440;;;;
7/18/18;13660;13670;;;;
7/17/18;13540;13545;;;;
7/16/18;13630;13640;;;;
7/13/18;13960;13975;;;;
7/12/18;14220;14250;;;;
7/11/18;13940;13955;;;;
7/10/18;14170;14175;;;;
7/9/18;14065;14070;;;;
7/6/18;13955;13965;;;;
7/5/18;14200;14215;;;;
7/4/18;14125;14140;;;;
7/3/18;14335;14340;;;;
7/2/18;14570;14580;;;;
6/29/18;14945;14955;;;;
6/28/18;14765;14795;;;;
6/27/18;14860;14880;;;;
6/26/18;14895;14900;;;;
6/25/18;14780;14790;;;;
6/22/18;15365;15375;;;;
6/21/18;15075;15080;;;;
6/20/18;14955;14965;;;;
6/19/18;14720;14745;;;;
6/18/18;14980;14985;;;;
6/15/18;15160;15180;;;;
