Date;PX_ASK;PX_BID
15.08.2022;46500;46000
12.08.2022;47000;46500
11.08.2022;46995;46495
10.08.2022;47000;48490
09.08.2022;48990;48490
08.08.2022;47000;48490
05.08.2022;49005;48505
04.08.2022;49000;49515
03.08.2022;49000;49505
02.08.2022;49000;49505
01.08.2022;50005;49505
29.07.2022;50020;49520
28.07.2022;50010;49510
27.07.2022;50000;49500
26.07.2022;50000;49500
25.07.2022;50000;49500
22.07.2022;50015;49515
21.07.2022;50010;49510
20.07.2022;50000;49500
19.07.2022;50000;49500
18.07.2022;50000;49500
15.07.2022;60000;59500
14.07.2022;59995;59495
13.07.2022;59985;59485
12.07.2022;59985;59485
11.07.2022;60000;59485
08.07.2022;60000;59500
07.07.2022;60000;59500
06.07.2022;60000;59500
05.07.2022;64985;64485
04.07.2022;65000;64485
01.07.2022;70015;69515
30.06.2022;70015;69515
29.06.2022;70000;69500
28.06.2022;71000;70500
27.06.2022;71940;71440
24.06.2022;71955;71455
23.06.2022;71950;71450
22.06.2022;71985;71485
21.06.2022;71985;71485
20.06.2022;71985;71485
17.06.2022;72015;71515
16.06.2022;72015;71515
15.06.2022;72000;71500
14.06.2022;72000;71500
13.06.2022;72485;71985
10.06.2022;72500;72000
09.06.2022;72500;72000
08.06.2022;72500;72000
07.06.2022;73495;72995
06.06.2022;73605;73105
01.06.2022;73625;73125
31.05.2022;73630;73130
30.05.2022;74000;73130
27.05.2022;74645;74145
26.05.2022;74645;74145
25.05.2022;74645;74145
24.05.2022;74645;74145
23.05.2022;74650;74150
20.05.2022;74665;74165
19.05.2022;74660;74160
18.05.2022;74660;74160
17.05.2022;74665;74165
16.05.2022;74670;74170
13.05.2022;81690;81190
12.05.2022;81685;81185
11.05.2022;81690;81190
10.05.2022;81690;81190
09.05.2022;81695;81195
06.05.2022;81715;81215
05.05.2022;81715;81215
04.05.2022;81715;81215
03.05.2022;81720;81220
29.04.2022;81745;81245
28.04.2022;81750;81250
27.04.2022;81750;81250
26.04.2022;81750;81250
25.04.2022;81755;81255
22.04.2022;81770;81270
21.04.2022;81775;81275
20.04.2022;81775;81275
19.04.2022;81780;81280
14.04.2022;81800;81300
13.04.2022;81805;81305
12.04.2022;81800;81300
11.04.2022;81805;81305
08.04.2022;81815;81315
07.04.2022;81820;81320
06.04.2022;81820;81320
05.04.2022;81825;81325
04.04.2022;81820;81320
01.04.2022;81840;81340
31.03.2022;81840;81340
30.03.2022;82700;82200
29.03.2022;81840;81340
28.03.2022;81845;81345
25.03.2022;82700;82200
24.03.2022;82500;82000
23.03.2022;81860;81360
22.03.2022;81860;81360
21.03.2022;81865;81365
18.03.2022;83000;40500
17.03.2022;81880;81380
16.03.2022;83000;40500
15.03.2022;81885;81385
14.03.2022;81885;81385
11.03.2022;81900;81400
10.03.2022;82400;81900
09.03.2022;82250;81750
08.03.2022;81500;81000
07.03.2022;79000;78500
04.03.2022;75505;75005
03.03.2022;75500;75000
02.03.2022;74750;74250
01.03.2022;73705;73205
28.02.2022;73720;73220
25.02.2022;73720;73220
24.02.2022;73010;72510
23.02.2022;73005;72505
22.02.2022;73000;72500
21.02.2022;72500;72000
18.02.2022;72500;72000
17.02.2022;70725;70225
16.02.2022;70715;70215
15.02.2022;70710;70210
14.02.2022;70715;70215
11.02.2022;70720;70220
10.02.2022;70720;70220
09.02.2022;70715;70215
08.02.2022;70710;70210
07.02.2022;70715;70215
04.02.2022;70720;70220
03.02.2022;70720;70220
02.02.2022;70710;70210
01.02.2022;70705;70205
31.01.2022;70715;70215
28.01.2022;70715;70215
27.01.2022;70715;70215
26.01.2022;70705;70205
25.01.2022;70705;70205
24.01.2022;71700;40500
21.01.2022;71645;71145
20.01.2022;70150;69650
19.01.2022;70150;69650
18.01.2022;70150;69650
17.01.2022;70150;69650
14.01.2022;70165;69665
13.01.2022;70170;69670
12.01.2022;70165;69665
11.01.2022;70165;69665
07.01.2022;70180;69680
06.01.2022;70180;69680
05.01.2022;70175;69675
04.01.2022;70180;69680
31.12.2021;70195;69695
