Date;Close Price;;;;;
12/15/17;72205;;;;;
12/14/17;72205;;;;;
12/13/17;70965;;;;;
12/12/17;72750;;;;;
12/11/17;74750;;;;;
12/8/17;74500;;;;;
12/7/17;69900;;;;;
12/6/17;70099;;;;;
12/5/17;69944;;;;;
12/4/17;68776;;;;;
12/1/17;66775;;;;;
11/30/17;67280;;;;;
11/29/17;66790;;;;;
11/28/17;68800;;;;;
11/27/17;64250;;;;;
11/24/17;63250;;;;;
11/23/17;61750;;;;;
11/22/17;61000;;;;;
11/21/17;61250;;;;;
11/20/17;60750;;;;;
11/17/17;61500;;;;;
11/16/17;61000;;;;;
11/15/17;61000;;;;;
11/14/17;60000;;;;;
11/13/17;60000;;;;;
11/10/17;60750;;;;;
11/9/17;61250;;;;;
11/8/17;60040;;;;;
11/7/17;60855;;;;;
11/6/17;60860;;;;;
11/3/17;60860;;;;;
11/2/17;61370;;;;;
11/1/17;61992;;;;;
10/31/17;60500;;;;;
10/30/17;61160;;;;;
10/27/17;60550;;;;;
10/26/17;60125;;;;;
10/25/17;60516,5;;;;;
10/24/17;60520;;;;;
10/23/17;60024;;;;;
10/20/17;61028;;;;;
10/19/17;60282;;;;;
10/18/17;60286;;;;;
10/17/17;60040;;;;;
10/16/17;60039;;;;;
10/13/17;59538;;;;;
10/12/17;59543,5;;;;;
10/11/17;59542,5;;;;;
10/10/17;59292;;;;;
10/9/17;59290,5;;;;;
10/6/17;58533;;;;;
10/5/17;58952;;;;;
10/4/17;58927;;;;;
10/3/17;59651;;;;;
10/2/17;59589;;;;;
9/29/17;59094;;;;;
9/28/17;58865;;;;;
9/27/17;58864;;;;;
9/26/17;59369;;;;;
9/25/17;59342;;;;;
9/22/17;59341;;;;;
9/21/17;59340;;;;;
9/20/17;59339;;;;;
9/19/17;59844,5;;;;;
9/18/17;59850;;;;;
9/15/17;61850;;;;;
9/14/17;60650;;;;;
9/13/17;60650;;;;;
9/12/17;60650;;;;;
9/11/17;60850;;;;;
9/8/17;60850;;;;;
9/7/17;60850;;;;;
9/6/17;60850;;;;;
9/5/17;60750;;;;;
9/4/17;60750;;;;;
9/1/17;60750;;;;;
8/31/17;60750;;;;;
8/30/17;60750;;;;;
8/29/17;61250;;;;;
8/25/17;60750;;;;;
8/24/17;60000;;;;;
8/23/17;60000;;;;;
8/22/17;60000;;;;;
8/21/17;59813;;;;;
8/18/17;60296;;;;;
8/17/17;56796;;;;;
8/16/17;56788;;;;;
8/15/17;56780;;;;;
8/14/17;56770;;;;;
8/11/17;56750;;;;;
8/10/17;57200;;;;;
8/9/17;57200;;;;;
8/8/17;57150;;;;;
8/7/17;57500;;;;;
8/4/17;59000;;;;;
8/3/17;58000;;;;;
8/2/17;55750;;;;;
8/1/17;56940;;;;;
7/31/17;56940;;;;;
7/28/17;56930;;;;;
7/27/17;56940;;;;;
7/26/17;56940;;;;;
7/25/17;56940;;;;;
7/24/17;57700;;;;;
7/21/17;58010;;;;;
7/20/17;58600;;;;;
7/19/17;58500;;;;;
7/18/17;58500;;;;;
7/17/17;58700;;;;;
7/14/17;59130;;;;;
7/13/17;59160;;;;;
7/12/17;59190;;;;;
7/11/17;59720;;;;;
7/10/17;59750;;;;;
7/7/17;60000;;;;;
7/6/17;61000;;;;;
7/5/17;58708;;;;;
7/4/17;58709;;;;;
7/3/17;59460;;;;;
6/30/17;59792;;;;;
6/29/17;59796;;;;;
6/28/17;59300;;;;;
6/27/17;58750;;;;;
6/26/17;58750;;;;;
6/23/17;58250;;;;;
6/22/17;58125;;;;;
6/21/17;58250;;;;;
6/20/17;58250;;;;;
6/19/17;57500;;;;;
6/16/17;57750;;;;;
6/15/17;56600;;;;;
6/14/17;56600;;;;;
6/13/17;56600;;;;;
6/12/17;56350;;;;;
6/9/17;56000;;;;;
6/8/17;56350;;;;;
6/7/17;56225;;;;;
6/6/17;56100;;;;;
6/5/17;56350;;;;;
6/2/17;56350;;;;;
6/1/17;55850;;;;;
5/31/17;56350;;;;;
5/30/17;56100;;;;;
5/26/17;55850;;;;;
5/25/17;55350;;;;;
5/24/17;54500;;;;;
5/23/17;54500;;;;;
5/22/17;54500;;;;;
5/19/17;54250;;;;;
5/18/17;54500;;;;;
5/17/17;55537;;;;;
5/16/17;55543,75;;;;;
5/15/17;54550;;;;;
5/12/17;54550;;;;;
5/11/17;54550;;;;;
5/10/17;54550;;;;;
5/9/17;54550;;;;;
5/8/17;54450;;;;;
5/5/17;55050;;;;;
5/4/17;55050;;;;;
5/3/17;54750;;;;;
5/2/17;54750;;;;;
4/28/17;55000;;;;;
4/27/17;55250;;;;;
4/26/17;55000;;;;;
4/25/17;55000;;;;;
4/24/17;55000;;;;;
4/21/17;54750;;;;;
4/20/17;54750;;;;;
4/19/17;55000;;;;;
4/18/17;55250;;;;;
4/13/17;55250;;;;;
4/12/17;55250;;;;;
4/11/17;55750;;;;;
4/10/17;55250;;;;;
4/7/17;55500;;;;;
4/6/17;55750;;;;;
4/5/17;56250;;;;;
4/4/17;55750;;;;;
4/3/17;55750;;;;;
3/31/17;54500;;;;;
3/30/17;54750;;;;;
3/29/17;54750;;;;;
3/28/17;53750;;;;;
3/27/17;53750;;;;;
3/24/17;53750;;;;;
3/23/17;54000;;;;;
3/22/17;54000;;;;;
3/21/17;52750;;;;;
3/20/17;52750;;;;;
3/17/17;52750;;;;;
3/16/17;53250;;;;;
3/15/17;53250;;;;;
3/14/17;53000;;;;;
3/13/17;52250;;;;;
3/10/17;52250;;;;;
3/9/17;52250;;;;;
3/8/17;50750;;;;;
3/7/17;50750;;;;;
3/6/17;50850;;;;;
3/3/17;51000;;;;;
3/2/17;51250;;;;;
3/1/17;51250;;;;;
2/28/17;50250;;;;;
2/27/17;49250;;;;;
2/24/17;47750;;;;;
2/23/17;47750;;;;;
2/22/17;47750;;;;;
2/21/17;47750;;;;;
2/20/17;47750;;;;;
2/17/17;44250;;;;;
2/16/17;43250;;;;;
2/15/17;43000;;;;;
2/14/17;42500;;;;;
2/13/17;42250;;;;;
2/10/17;39850;;;;;
2/9/17;39500;;;;;
2/8/17;38750;;;;;
2/7/17;38250;;;;;
2/6/17;37750;;;;;
2/3/17;37500;;;;;
2/2/17;37500;;;;;
2/1/17;37500;;;;;
1/31/17;37000;;;;;
1/30/17;37000;;;;;
1/27/17;37000;;;;;
1/26/17;36500;;;;;
1/25/17;36000;;;;;
1/24/17;36000;;;;;
1/23/17;35750;;;;;
1/20/17;35750;;;;;
1/19/17;35250;;;;;
1/18/17;35250;;;;;
1/17/17;35000;;;;;
1/16/17;34750;;;;;
1/13/17;34449;;;;;
1/12/17;33499;;;;;
1/11/17;33244;;;;;
1/10/17;32993;;;;;
1/9/17;32742;;;;;
1/6/17;32740,5;;;;;
1/5/17;32739,5;;;;;
1/4/17;32736;;;;;
1/3/17;32735;;;;;
12/30/16;32734;;;;;
12/29/16;32483;;;;;
12/28/16;32729;;;;;
12/23/16;32728;;;;;
12/22/16;32477;;;;;
12/21/16;32221;;;;;
12/20/16;31970;;;;;
12/19/16;32215;;;;;
12/16/16;32163,5;;;;;
12/15/16;31962;;;;;
12/14/16;31833;;;;;
12/13/16;31207;;;;;
12/12/16;31456;;;;;
12/9/16;31455;;;;;
12/8/16;30704;;;;;
12/7/16;30700;;;;;
12/6/16;30500;;;;;
12/5/16;30750;;;;;
12/2/16;29750;;;;;
12/1/16;29750;;;;;
11/30/16;29750;;;;;
11/29/16;29700;;;;;
11/28/16;29500;;;;;
11/25/16;29750;;;;;
11/24/16;29250;;;;;
11/23/16;30000;;;;;
11/22/16;30000;;;;;
11/21/16;30000;;;;;
11/18/16;29750;;;;;
11/17/16;29500;;;;;
11/16/16;29250;;;;;
11/15/16;29250;;;;;
11/14/16;29250;;;;;
