Date,XLIX5,XLIJ5,diff,diff_ma5
2024-12-31,12.48,11.67,0.8100000000000005,1.1019999999999999
2025-01-02,12.48,11.95,0.5300000000000011,0.9860000000000003
2025-01-03,12.56,11.9,0.6600000000000001,0.8660000000000003
2025-01-06,12.52,11.66,0.8599999999999994,0.7860000000000003
2025-01-07,12.61,11.65,0.9599999999999991,0.764
2025-01-08,12.43,11.54,0.8900000000000006,0.78
2025-01-09,12.3,11.51,0.7900000000000009,0.8320000000000001
2025-01-10,12.26,11.41,0.8499999999999996,0.8699999999999999
2025-01-13,12.26,11.41,0.8499999999999996,0.868
2025-01-14,12.33,11.5,0.8300000000000001,0.8420000000000002
2025-01-15,12.4,11.45,0.9500000000000011,0.8540000000000003
2025-01-16,12.43,11.6,0.8300000000000001,0.8620000000000001
2025-01-17,12.35,11.53,0.8200000000000003,0.8560000000000002
2025-01-20,12.37,11.55,0.8199999999999985,0.85
2025-01-21,12.25,11.6,0.6500000000000004,0.8140000000000001
2025-01-22,12.27,11.63,0.6399999999999988,0.7519999999999996
2025-01-23,12.13,11.5,0.6300000000000008,0.7119999999999997
2025-01-24,12.14,11.47,0.6699999999999999,0.6819999999999997
2025-01-27,12.03,11.45,0.5800000000000001,0.634
2025-01-28,12.01,11.45,0.5600000000000005,0.616
2025-01-29,12.01,11.38,0.629999999999999,0.6140000000000001
2025-01-30,12.01,11.35,0.6600000000000001,0.6199999999999999
2025-01-31,12.01,11.34,0.6699999999999999,0.6199999999999999
2025-02-03,12.01,11.26,0.75,0.6539999999999999
2025-02-04,12.06,11.34,0.7200000000000006,0.6859999999999999
2025-02-05,11.93,11.23,0.6999999999999993,0.7
2025-02-06,11.9,10.96,0.9399999999999995,0.7559999999999999
2025-02-07,11.77,10.96,0.8099999999999987,0.7839999999999996
2025-02-10,11.68,10.95,0.7300000000000004,0.7799999999999997
2025-02-11,11.47,10.95,0.5200000000000014,0.7399999999999999
2025-02-12,11.39,10.62,0.7700000000000014,0.7540000000000002
2025-02-13,11.28,10.74,0.5399999999999991,0.6740000000000002
2025-02-14,11.29,10.7,0.5899999999999999,0.6300000000000004
2025-02-17,11.29,10.71,0.5799999999999983,0.6
2025-02-18,11.29,10.71,0.5799999999999983,0.6119999999999994
2025-02-19,11.26,10.71,0.5499999999999989,0.567999999999999
