Date,Price,Net,%Chg,Open,Low,High,Volume,Bid,Ask
2018-09-27,50500.0,-200,-0%,50 650,50 280,50 820,28 159,50 280,50 320
2018-09-28,50240.0,-260,-1%,50 220,49 970,50 470,22 198,50 400,50 500
2018-10-08,50220.0,-20,-0%,50 250,50 080,50 390,13 600,50 210,50 220
2018-10-09,50510.0,+290,+1%,50 280,50 280,50 650,18 005,50 610,50 690
2018-10-10,50910.0,+400,+1%,50 440,50 350,51 220,21 425,50 760,50 880
2018-10-11,50130.0,-780,-2%,50 860,49 870,50 960,15 945,50 060,50 090
2018-10-12,50610.0,+480,+1%,50 320,50 270,50 930,8 575,50 830,50 890
2018-10-15,50810.0,+200,+0%,50 970,50 330,51 050,4 705,50 230,50 690
2018-10-16,50510.0,-300,-1%,50 780,50 130,50 960,74 919,50 190,50 210
2018-10-17,50230.0,-280,-1%,50 330,50 030,50 380,55 732,50 290,50 310
2018-10-18,50280.0,+50,+0%,50 380,50 000,50 560,60 371,50 110,50 130
2018-10-19,50080.0,-200,-0%,50 000,49 850,50 310,54 825,50 270,50 290
2018-10-22,50450.0,+370,+1%,50 480,50 250,50 610,45 372,50 520,50 540
2018-10-23,50330.0,-120,-0%,50 710,50 040,50 780,41 350,50 100,50 110
2018-10-24,50090.0,-240,-0%,49 920,49 850,50 290,47 174,50 240,50 270
2018-10-25,49680.0,-410,-1%,50 070,49 350,50 170,45 630,49 730,49 750
2018-10-26,49930.0,+250,+1%,49 960,49 670,50 300,24 748,49 660,49 680
2018-10-29,49830.0,-100,-0%,49 680,49 560,50 100,26 893,49 680,49 710
2018-10-30,49680.0,-150,-0%,50 020,49 530,50 050,27 807,49 650,49 660
2018-10-31,49120.0,-560,-1%,49 480,48 900,49 480,28 640,49 050,49 120
2018-11-01,48720.0,-400,-1%,49 050,48 510,49 170,17 225,48 650,48 700
2018-11-02,49340.0,+620,+1%,48 780,48 750,49 930,16 610,49 780,49 830
2018-11-05,49890.0,+550,+1%,49 820,49 720,50 290,15 215,49 750,49 800
2018-11-06,49630.0,-260,-1%,49 800,49 500,49 860,10 960,49 640,49 700
2018-11-07,49460.0,-170,-0%,49 640,49 260,49 850,13 425,49 480,49 540
2018-11-08,49500.0,+40,+0%,49 600,49 350,49 680,11 145,49 430,49 470
2018-11-09,49340.0,-160,-0%,49 340,49 120,49 530,11 265,49 250,49 280
2018-11-12,49030.0,-310,-1%,49 130,48 860,49 200,13 855,48 900,48 920
2018-11-13,48830.0,-200,-0%,48 910,48 700,49 040,8 635,49 000,49 030
2018-11-14,48840.0,+10,+0%,49 070,48 720,49 240,7 250,48 730,48 780
2018-11-15,49030.0,+190,+0%,48 840,48 470,49 350,1 900,49 000,49 470
2018-11-16,49530.0,+500,+1%,49 530,49 410,49 750,37 135,49 520,49 530
2018-11-19,49630.0,+100,+0%,49 480,49 370,49 830,37 592,49 690,49 700
2018-11-20,49710.0,+80,+0%,49 760,49 520,49 970,36 065,49 560,49 570
2018-11-21,49350.0,-360,-1%,49 690,48 750,49 940,47 267,49 400,49 420
2018-11-22,49530.0,+180,+0%,49 570,49 300,49 710,24 374,49 600,49 610
2018-11-23,49620.0,+90,+0%,49 550,49 400,49 820,27 044,49 430,49 450
2018-11-26,49330.0,-290,-1%,49 350,49 140,49 490,29 563,49 370,49 390
2018-11-27,49130.0,-200,-0%,49 460,48 820,49 490,34 648,48 950,48 970
2018-11-28,49040.0,-90,-0%,48 950,48 690,49 300,26 969,49 290,49 300
2018-11-29,49550.0,+510,+1%,49 290,49 130,49 790,23 452,49 590,49 600
2018-11-30,49600.0,+50,+0%,49 660,49 490,49 740,20 753,49 650,49 750
2018-12-03,50160.0,+560,+1%,49 670,49 370,50 750,14 572,50 150,50 200
2018-12-04,49790.0,-370,-1%,50 200,49 580,50 270,16 030,49 600,49 650
