date,ATKLICAR,ATKLIOH,INOLIRLCAIGRCND,INOLIRLHYBGRCND,SLICFc1,SLIHFc1,SMM-LIB-GRD,SMM-LICB-BG,TLCc1
2023-04-06,210000.0,303000.0,21.0,32.3,42.56,57.53,,,
2023-04-07,210000.0,303000.0,20.5,31.8,,,,,
2023-04-10,200000.0,290000.0,20.0,30.8,40.91,54.34,,,
2023-04-11,200000.0,290000.0,19.5,30.5,40.28,53.09,,,
2023-04-12,200000.0,290000.0,19.0,30.0,38.82,52.59,,,
2023-04-13,190000.0,265000.0,18.7,29.5,38.82,52.0,,,
2023-04-14,190000.0,265000.0,18.2,28.6,39.12,50.67,,,
2023-04-17,174000.0,230000.0,17.75,27.75,35.61,47.06,,,
2023-04-18,174000.0,230000.0,17.75,27.75,33.64,46.88,,,
2023-04-19,174000.0,230000.0,17.75,27.75,33.73,47.0,,,
2023-04-20,170000.0,215500.0,17.25,26.75,33.13,45.55,,,
2023-04-21,170000.0,215500.0,16.95,26.45,33.31,45.79,,,
2023-04-24,170000.0,192500.0,17.05,26.25,33.31,45.79,,,
2023-04-25,170000.0,192500.0,17.15,25.25,33.13,45.55,,,
2023-04-26,170000.0,192500.0,17.35,24.25,33.13,45.55,,,
2023-04-27,180000.0,192500.0,17.7,23.25,33.13,45.55,,,
2023-04-28,180000.0,192500.0,19.0,22.0,,,1550000.0,,
2023-05-02,,,,,33.31,45.8,,,
2023-05-03,,,19.0,22.0,29.76,41.81,,,
2023-05-04,190000.0,192500.0,19.5,21.5,29.58,41.56,,179500.0,
2023-05-05,190000.0,192500.0,20.0,21.5,29.58,41.56,1550000.0,180500.0,
2023-05-08,192500.0,192500.0,20.75,21.6,30.85,41.56,,190000.0,
2023-05-09,192500.0,192500.0,20.95,21.7,31.39,41.56,,195500.0,
2023-05-10,192500.0,192500.0,21.25,21.8,31.3,41.5,,208500.0,
2023-05-11,215000.0,197500.0,22.25,22.5,31.3,41.65,,225000.0,
2023-05-12,215000.0,197500.0,23.75,24.0,31.2,41.92,1550000.0,242000.0,
2023-05-15,242000.0,227500.0,25.25,25.0,31.2,42.47,,258000.0,
2023-05-16,242000.0,227500.0,26.25,25.5,31.67,42.47,,265000.0,
2023-05-17,242000.0,227500.0,27.25,26.5,31.67,42.47,,274000.0,
2023-05-18,282500.0,272500.0,28.75,28.0,32.06,42.47,,290000.0,
2023-05-19,282500.0,272500.0,28.85,28.1,32.65,43.33,1570000.0,292000.0,
2023-05-22,294000.0,287500.0,28.85,28.1,32.51,43.64,,292000.0,
2023-05-23,294000.0,287500.0,28.65,28.1,32.51,43.64,,292000.0,
2023-05-24,294000.0,287500.0,28.15,28.0,32.45,43.43,,295000.0,
2023-05-25,302500.0,287500.0,28.15,28.0,32.35,43.43,,295000.0,
2023-05-26,302500.0,287500.0,28.15,28.0,32.35,43.41,1570000.0,295000.0,
2023-05-29,302500.0,287500.0,28.25,28.25,32.46,43.59,,295000.0,
2023-05-30,302500.0,287500.0,28.5,28.75,32.35,43.41,,297500.0,
2023-05-31,302500.0,287500.0,28.7,28.95,32.15,43.21,,300000.0,
2023-06-01,305000.0,288500.0,29.0,29.25,37.03,48.62,,300500.0,
2023-06-02,305000.0,288500.0,29.0,29.25,36.28,46.0,1800000.0,300500.0,
2023-06-05,310000.0,292000.0,29.5,29.25,38.16,46.51,,303000.0,
2023-06-06,310000.0,292000.0,29.5,29.75,38.77,47.26,,306500.0,
2023-06-07,310000.0,292000.0,29.75,30.0,43.28,47.26,,310000.0,
2023-06-08,317500.0,295000.0,30.0,30.0,44.73,47.94,,311500.0,
2023-06-09,317500.0,295000.0,30.0,30.0,44.73,48.23,1950000.0,313000.0,
2023-06-12,317500.0,295000.0,30.0,30.2,43.84,48.23,,313000.0,
2023-06-13,317500.0,295000.0,30.0,30.2,43.84,48.23,,313000.0,
2023-06-14,317500.0,295000.0,30.0,30.2,43.84,48.23,,313000.0,
2023-06-15,317500.0,297500.0,30.0,30.2,44.09,47.79,,313000.0,
2023-06-16,317500.0,297500.0,30.0,30.2,44.09,47.79,1950000.0,314000.0,
2023-06-19,315000.0,297500.0,29.75,30.2,44.53,47.19,,314000.0,
2023-06-20,315000.0,297500.0,29.75,30.2,44.53,48.04,,313500.0,
2023-06-21,312500.0,297500.0,29.75,30.2,44.53,48.04,1950000.0,313000.0,
2023-06-22,,,,,43.6,48.04,,,
2023-06-23,,,,,43.6,48.04,,,
2023-06-25,,,29.75,30.2,,,,,
2023-06-26,310000.0,297500.0,29.5,29.8,43.6,48.04,,311500.0,
2023-06-27,310000.0,297500.0,29.5,29.8,43.6,48.04,,310000.0,
2023-06-28,310000.0,297500.0,29.0,29.8,43.15,48.04,,307500.0,
2023-06-29,305000.0,295000.0,29.0,29.8,43.15,48.04,,307000.0,
2023-06-30,305000.0,295000.0,29.0,29.8,42.55,46.9,1940000.0,307000.0,
2023-07-03,302500.0,291000.0,29.0,29.8,48.28,52.88,,307000.0,
2023-07-04,302500.0,291000.0,29.1,29.8,42.05,46.13,,307500.0,
2023-07-05,302500.0,291000.0,29.1,29.8,41.48,45.5,,307500.0,
2023-07-06,302500.0,291000.0,29.1,29.8,40.81,46.03,,307500.0,
2023-07-07,302500.0,291000.0,29.1,29.4,40.81,46.03,1930000.0,307500.0,
2023-07-10,302500.0,288500.0,29.1,29.4,40.81,45.36,,307500.0,
2023-07-11,302500.0,288500.0,29.1,29.3,40.91,45.08,,307500.0,
2023-07-12,302500.0,288500.0,28.8,29.1,40.91,44.55,,306000.0,
2023-07-13,302500.0,280000.0,28.7,28.75,40.37,44.17,,304500.0,
2023-07-14,302500.0,280000.0,28.7,28.55,40.37,44.81,1930000.0,303500.0,
2023-07-17,300000.0,275000.0,28.5,28.15,40.35,44.43,,300500.0,40.32
2023-07-18,300000.0,275000.0,28.5,27.85,40.1,44.28,,299000.0,40.21
2023-07-19,300000.0,275000.0,28.3,27.6,39.71,44.03,,296000.0,40.12
2023-07-20,293500.0,271500.0,28.1,27.4,39.71,44.03,,293500.0,40.13
2023-07-21,293500.0,271500.0,27.6,27.2,40.03,44.07,1930000.0,288000.0,40.05
2023-07-24,285000.0,267500.0,27.4,27.0,39.75,43.54,,285500.0,39.98
2023-07-25,285000.0,267500.0,27.2,26.8,39.55,43.22,,284000.0,39.93
2023-07-26,285000.0,267500.0,27.0,26.6,39.64,43.06,,282000.0,39.88
