"";"Date";"CODALY";"CUDALY";"LIDALY";"NIDALY";"CODALY_BD";"CUDALY_BD";"LIDALY_BD";"NIDALY_BD"
"350";2019-04-11;15,649;2,9175;11,691;5,9012;0;0;0;0
"351";2019-04-12;15,649;2,9429;11,691;5,8672;0;0;0;0
"352";2019-04-15;15,876;2,9279;11,691;5,8264;0;0;0;0
"353";2019-04-16;15,649;2,9298;11,691;5,8808;0;0;0;0
"354";2019-04-17;15,876;2,952;11,691;5,8718;0;0;0;0
"355";2019-04-18;15,876;2,9225;11,691;5,7266;0;0;0;0
"356";2019-04-19;15,876;2,898;11,691;5,7098;0;0;0;0
"357";2019-04-22;15,876;2,9065;11,691;5,7098;0;0;0;0
"358";2019-04-23;15,649;2,9161;11,768;5,6608;0;0;0;0
"359";2019-04-24;15,649;2,9198;11,768;5,5951;0;0;0;0
"360";2019-04-25;15,649;2,8914;11,768;5,5633;0;0;0;0
"361";2019-04-26;15,649;2,8994;11,768;5,5633;0;0;0;0
"362";2019-04-29;15,649;2,8917;11,768;5,5928;0;0;0;0
"363";2019-04-30;15,649;2,9216;11,768;5,6041;0;0;0;0
"364";2019-05-06;15,649;2,837;11,768;5,505;0;0;0;0
"365";2019-05-07;15,649;2,7996;11,768;5,4635;0;0;0;0
"366";2019-05-08;15,649;2,768;11,768;5,425;0;0;0;0
"367";2019-05-09;15,649;2,7714;11,768;5,307;0;0;0;0
"368";2019-05-10;15,649;2,7828;11,768;5,3796;0;0;0;0
"369";2019-05-13;15,649;2,7406;11,768;5,3161;0;0;0;0
"370";2019-05-14;15,649;2,7243;11,768;5,3569;0;0;0;0
"371";2019-05-15;15,649;2,722;11,768;5,4068;0;0;0;0
"372";2019-05-16;15,649;2,7615;11,768;5,5384;0;0;0;0
"373";2019-05-17;15,649;2,7306;11,768;5,4522;0;0;0;0
"374";2019-05-20;15,649;2,7143;11,768;5,4023;0;0;0;0
"375";2019-05-21;15,649;2,7229;11,768;5,4544;0;0;0;0
"376";2019-05-22;15,536;2,6848;11,768;5,425;0;0;0;0
"377";2019-05-23;15,536;2,6576;11,768;5,3796;0;0;0;0
"378";2019-05-24;15,195;2,6846;11,768;5,5111;0;0;0;0
"379";2019-05-27;15,195;2,7219;11,845;5,6005;0;0;0;0
"380";2019-05-28;15,195;2,7016;11,845;5,5474;0;0;0;0
"381";2019-05-29;15,195;2,6599;11,845;5,4567;0;0;0;0
"382";2019-05-30;15,195;2,6408;11,845;5,4318;0;0;0;0
"383";2019-05-31;14,515;2,6218;11,845;5,459;0;0;0;0
