Exchange Date;Trade Price
28-May-2021;73 440,00
27-May-2021;71 360,00
26-May-2021;71 755,00
25-May-2021;72 415,00
24-May-2021;71 425,00
21-May-2021;72 020,00
20-May-2021;72 535,00
19-May-2021;74 915,00
18-May-2021;75 765,00
17-May-2021;74 640,00
14-May-2021;74 910,00
13-May-2021;76 005,00
12-May-2021;76 065,00
11-May-2021;75 410,00
10-May-2021;76 940,00
07-May-2021;74 205,00
06-May-2021;72 820,00
30. Apr 21;71 725,00
29. Apr 21;72 375,00
28. Apr 21;70 980,00
27. Apr 21;71 925,00
26. Apr 21;69 960,00
23. Apr 21;69 160,00
22. Apr 21;68 880,00
21. Apr 21;68 580,00
20. Apr 21;69 000,00
