Date;Close;Change;PCT;;;;;;
16-May-2019;34 500,00;0,00;0,00%;;;;;;
17-May-2019;34 500,00;0,00;0,00%;;;;;;
20-May-2019;34 500,00;0,00;0,00%;;;;;;
21-May-2019;34 500,00;0,00;0,00%;;;;;;
22-May-2019;34 250,00;--250,00;--0,72%;;;;;;
23-May-2019;34 250,00;0,00;0,00%;;;;;;
24-May-2019;33 500,00;--750,00;--2,19%;;;;;;
28-May-2019;33 500,00;0,00;0,00%;;;;;;
29-May-2019;33 500,00;0,00;0,00%;;;;;;
30-May-2019;33 500,00;0,00;0,00%;;;;;;
31-May-2019;32 000,00;--1 500,00;--4,48%;;;;;;
03-Jun-2019;32 000,00;0,00;0,00%;;;;;;
04-Jun-2019;32 000,00;0,00;0,00%;;;;;;
05-Jun-2019;32 000,00;0,00;0,00%;;;;;;
06-Jun-2019;31 000,00;--1 000,00;--3,13%;;;;;;
07-Jun-2019;28 000,00;--3 000,00;--9,68%;;;;;;
10-Jun-2019;28 000,00;0,00;0,00%;;;;;;
11-Jun-2019;28 000,00;0,00;0,00%;;;;;;
12-Jun-2019;28 000,00;0,00;0,00%;;;;;;
13-Jun-2019;28 000,00;0,00;0,00%;;;;;;
14-Jun-2019;28 000,00;0,00;0,00%;;;;;;
17-Jun-2019;28 000,00;0,00;0,00%;;;;;;
18-Jun-2019;28 000,00;0,00;0,00%;;;;;;
19-Jun-2019;28 000,00;0,00;0,00%;;;;;;
20-Jun-2019;28 000,00;0,00;0,00%;;;;;;
21-Jun-2019;28 000,00;0,00;0,00%;;;;;;
24-Jun-2019;28 000,00;0,00;0,00%;;;;;;
25-Jun-2019;28 000,00;0,00;0,00%;;;;;;
26-Jun-2019;28 000,00;0,00;0,00%;;;;;;
27-Jun-2019;29 000,00;1 000,00;3,57%;;;;;;
28-Jun-2019;29 000,00;0,00;0,00%;;;;;;
01-Jul-2019;29 000,00;0,00;0,00%;;;;;;
02-Jul-2019;29 000,00;0,00;0,00%;;;;;;
03-Jul-2019;29 000,00;0,00;0,00%;;;;;;
04-Jul-2019;29 000,00;0,00;0,00%;;;;;;
05-Jul-2019;29 000,00;0,00;0,00%;;;;;;
08-Jul-2019;29 000,00;0,00;0,00%;;;;;;
09-Jul-2019;27 050,00;--1 950,00;--6,72%;;;;;;
10-Jul-2019;27 050,00;0,00;0,00%;;;;;;
11-Jul-2019;27 050,00;0,00;0,00%;;;;;;
12-Jul-2019;27 050,00;0,00;0,00%;;;;;;
15-Jul-2019;28 000,00;950,00;3,51%;;;;;;
16-Jul-2019;28 000,00;0,00;0,00%;;;;;;
17-Jul-2019;28 000,00;0,00;0,00%;;;;;;
18-Jul-2019;28 000,00;0,00;0,00%;;;;;;
19-Jul-2019;28 000,00;0,00;0,00%;;;;;;
22-Jul-2019;28 000,00;0,00;0,00%;;;;;;
23-Jul-2019;28 000,00;0,00;0,00%;;;;;;
24-Jul-2019;28 000,00;0,00;0,00%;;;;;;
25-Jul-2019;28 000,00;0,00;0,00%;;;;;;
26-Jul-2019;26 000,00;--2 000,00;--7,14%;;;;;;
29-Jul-2019;26 000,00;0,00;0,00%;;;;;;
30-Jul-2019;26 000,00;0,00;0,00%;;;;;;
31-Jul-2019;26 000,00;0,00;0,00%;;;;;;
01-Aug-2019;26 000,00;0,00;0,00%;;;;;;
02-Aug-2019;26 000,00;0,00;0,00%;;;;;;
05-Aug-2019;26 000,00;0,00;0,00%;;;;;;
06-Aug-2019;28 300,00;2 300,00;8,85%;;;;;;
07-Aug-2019;28 300,00;0,00;0,00%;;;;;;
08-Aug-2019;28 500,00;200,00;0,71%;;;;;;
09-Aug-2019;28 500,00;0,00;0,00%;;;;;;
12-Aug-2019;31 500,00;3 000,00;10,53%;;;;;;
13-Aug-2019;30 500,00;--1 000,00;--3,17%;;;;;;
14-Aug-2019;30 500,00;0,00;0,00%;;;;;;
15-Aug-2019;32 600,00;2 100,00;6,89%;;;;;;
16-Aug-2019;32 600,00;0,00;0,00%;;;;;;
19-Aug-2019;32 600,00;0,00;0,00%;;;;;;
20-Aug-2019;32 600,00;0,00;0,00%;;;;;;
21-Aug-2019;32 600,00;0,00;0,00%;;;;;;
22-Aug-2019;32 600,00;0,00;0,00%;;;;;;
23-Aug-2019;32 600,00;0,00;0,00%;;;;;;
27-Aug-2019;32 600,00;0,00;0,00%;;;;;;
