Exchange Date;Close
05. Jan 21;451
04. Jan 21;451
31-Dec-2020;451
30-Dec-2020;451
29-Dec-2020;451
24-Dec-2020;451
23-Dec-2020;451
22-Dec-2020;451
21-Dec-2020;451
18-Dec-2020;451
17-Dec-2020;451
16-Dec-2020;451
15-Dec-2020;451
14-Dec-2020;451
11-Dec-2020;451
10-Dec-2020;451
09-Dec-2020;451
08-Dec-2020;451
07-Dec-2020;451
04-Dec-2020;451
03-Dec-2020;451
02-Dec-2020;451
01-Dec-2020;451
30. Nov 20;451
27. Nov 20;451
26. Nov 20;451
25. Nov 20;451
24. Nov 20;451
23. Nov 20;451
20. Nov 20;451
19. Nov 20;451
18. Nov 20;451
17. Nov 20;451
16. Nov 20;451
13. Nov 20;451
12. Nov 20;451
11. Nov 20;451
10. Nov 20;451
09. Nov 20;451
06. Nov 20;451
05. Nov 20;451
04. Nov 20;451
03. Nov 20;451
02. Nov 20;451
30-Oct-2020;451
29-Oct-2020;451
28-Oct-2020;451
27-Oct-2020;451
26-Oct-2020;451
23-Oct-2020;451
22-Oct-2020;451
21-Oct-2020;451
20-Oct-2020;451
19-Oct-2020;451
16-Oct-2020;451
15-Oct-2020;451
14-Oct-2020;451
13-Oct-2020;451
12-Oct-2020;451
09-Oct-2020;451
08-Oct-2020;451
07-Oct-2020;451
06-Oct-2020;451
05-Oct-2020;451
02-Oct-2020;451
01-Oct-2020;451
30. Sep 20;451
29. Sep 20;451
28. Sep 20;451
25. Sep 20;451
24. Sep 20;451
23. Sep 20;451
22. Sep 20;451
21. Sep 20;451
18. Sep 20;451
17. Sep 20;451
16. Sep 20;451
15. Sep 20;451
14. Sep 20;451
11. Sep 20;451
10. Sep 20;451
09. Sep 20;451
08. Sep 20;451
07. Sep 20;451
04. Sep 20;451
03. Sep 20;455
02. Sep 20;455
01. Sep 20;455
28. Aug 20;455
27. Aug 20;495
26. Aug 20;515
25. Aug 20;515
24. Aug 20;515
21. Aug 20;515
20. Aug 20;515
19. Aug 20;515
18. Aug 20;515
17. Aug 20;555
14. Aug 20;555
13. Aug 20;595
12. Aug 20;595
11. Aug 20;595
10. Aug 20;595
07. Aug 20;595
06. Aug 20;595
05. Aug 20;595
04. Aug 20;595
03. Aug 20;595
31. Jul 20;595
30. Jul 20;595
29. Jul 20;602
28. Jul 20;602
27. Jul 20;602
24. Jul 20;602
23. Jul 20;602
22. Jul 20;602
21. Jul 20;602
20. Jul 20;602
17. Jul 20;602
16. Jul 20;602
15. Jul 20;602
14. Jul 20;602
13. Jul 20;602
10. Jul 20;602
09. Jul 20;602
08. Jul 20;602
07. Jul 20;602
06. Jul 20;602
03. Jul 20;602
02. Jul 20;602
01. Jul 20;602
30. Jun 20;602
29. Jun 20;602
26. Jun 20;602
25. Jun 20;602
24. Jun 20;602
23. Jun 20;602
22. Jun 20;602
19. Jun 20;602
18. Jun 20;602
17. Jun 20;602
16. Jun 20;602
15. Jun 20;602
12. Jun 20;602
11. Jun 20;602
10. Jun 20;602
09. Jun 20;602
08. Jun 20;602
05. Jun 20;602
04. Jun 20;602
03. Jun 20;602
02. Jun 20;602
01. Jun 20;602
29-May-2020;602
28-May-2020;602
27-May-2020;603
26-May-2020;603
22-May-2020;603
21-May-2020;603
20-May-2020;603
19-May-2020;603
18-May-2020;603
15-May-2020;603
14-May-2020;603
13-May-2020;603
12-May-2020;603
11-May-2020;603
07-May-2020;603
06-May-2020;603
05-May-2020;603
04-May-2020;603
01-May-2020;604
30. Apr 20;604
29. Apr 20;604
28. Apr 20;606
27. Apr 20;606
24. Apr 20;606
23. Apr 20;606
22. Apr 20;606
21. Apr 20;606
20. Apr 20;606
17. Apr 20;607
16. Apr 20;607
15. Apr 20;607
14. Apr 20;607
09. Apr 20;627
08. Apr 20;627
07. Apr 20;627
06. Apr 20;627
03. Apr 20;627
02. Apr 20;627
01. Apr 20;627
31-Mar-2020;643
30-Mar-2020;643
27-Mar-2020;645
26-Mar-2020;645
25-Mar-2020;645
24-Mar-2020;645
23-Mar-2020;645
20-Mar-2020;645
19-Mar-2020;645
18-Mar-2020;645
17-Mar-2020;645
16-Mar-2020;645
13-Mar-2020;645
12-Mar-2020;645
11-Mar-2020;645
10-Mar-2020;645
09-Mar-2020;645
06-Mar-2020;645
05-Mar-2020;645
04-Mar-2020;645
03-Mar-2020;645
02-Mar-2020;645
28. Feb 20;645
27. Feb 20;645
26. Feb 20;649
25. Feb 20;649
24. Feb 20;649
21. Feb 20;649
20. Feb 20;649
19. Feb 20;649
18. Feb 20;649
17. Feb 20;649
14. Feb 20;649
13. Feb 20;649
12. Feb 20;649
11. Feb 20;650
10. Feb 20;650
07. Feb 20;650
06. Feb 20;650
05. Feb 20;650
04. Feb 20;650
03. Feb 20;650
31. Jan 20;650
30. Jan 20;650
29. Jan 20;650
28. Jan 20;651
27. Jan 20;661
24. Jan 20;661
23. Jan 20;661
22. Jan 20;661
21. Jan 20;661
20. Jan 20;662
17. Jan 20;662
16. Jan 20;662
15. Jan 20;667
14. Jan 20;667
13. Jan 20;667
10. Jan 20;667
09. Jan 20;667
08. Jan 20;667
07. Jan 20;667
06. Jan 20;667
03. Jan 20;667
02. Jan 20;668
31-Dec-2019;685
30-Dec-2019;685
27-Dec-2019;685
24-Dec-2019;685
23-Dec-2019;685
20-Dec-2019;685
19-Dec-2019;685
18-Dec-2019;685
17-Dec-2019;685
16-Dec-2019;685
13-Dec-2019;685
12-Dec-2019;686
11-Dec-2019;686
10-Dec-2019;686
09-Dec-2019;686
